,precision,recall,f1-score,support
Apple,0.9937402190923318,1.0,0.9968602825745684,635
Blueberry,0.9966777408637874,1.0,0.9983361064891847,300
Cherry_(including_sour),1.0,0.9921052631578947,0.9960369881109644,380
Corn_(maize),0.9974160206718347,1.0,0.9987063389391979,772
Grape,1.0,0.998766954377312,0.9993830968537939,811
Orange,1.0,1.0,1.0,1102
Peach,1.0,0.9981167608286252,0.9990574929311969,531
"Pepper,_bell",1.0,0.997979797979798,0.9989888776541962,495
Potato,0.9930555555555556,0.9953596287703016,0.9942062572421785,431
Raspberry,1.0,1.0,1.0,74
Soybean,1.0,0.9990176817288802,0.9995085995085995,1018
Squash,1.0,1.0,1.0,367
Strawberry,0.9936507936507937,0.9968152866242038,0.9952305246422894,314
Tomato,0.9991733259851199,0.9986229688790966,0.9988980716253444,3631
