,precision,recall,f1-score,support
Apple,0.9968503937007874,0.9968503937007874,0.9968503937007874,635
Blueberry,0.9966777408637874,1.0,0.9983361064891847,300
Cherry_(including_sour),1.0,0.9947368421052631,0.9973614775725593,380
Corn_(maize),0.9987063389391979,1.0,0.9993527508090615,772
Grape,0.9987684729064039,1.0,0.9993838570548367,811
Orange,1.0,1.0,1.0,1102
Peach,1.0,0.9981167608286252,0.9990574929311969,531
"Pepper,_bell",1.0,0.997979797979798,0.9989888776541962,495
Potato,0.9907834101382489,0.9976798143851509,0.9942196531791907,431
Raspberry,1.0,1.0,1.0,74
Soybean,0.9990176817288802,0.9990176817288802,0.9990176817288802,1018
Squash,1.0,0.997275204359673,0.9986357435197818,367
Strawberry,1.0,0.9968152866242038,0.9984051036682616,314
Tomato,0.9988983751032773,0.9988983751032773,0.9988983751032773,3631
